"Bydele Navn","Roder","År","Måned","Antal borgere"
"Amager Vest","0343","2015","April","20"
"Amager Vest","0343","2015","Maj","21"
"Amager Vest","0343","2015","Juni","22"
"Amager Vest","0343","2015","Juli","20"
"Amager Vest","0343","2015","August","23"
"Amager Vest","0343","2015","September","20"
"Amager Vest","0343","2015","Oktober","21"
"Amager Vest","0343","2015","November","19"
"Amager Vest","0343","2015","December","19"
"Amager Vest","0343","2016","Januar","17"
"Amager Vest","0343","2016","Februar","18"
"Amager Vest","0343","2016","Marts","18"
"Amager Vest","0344","2015","Januar","18"
"Amager Vest","0344","2015","Februar","20"
"Amager Vest","0344","2015","Marts","22"
"Amager Vest","0344","2015","April","24"
"Amager Vest","0344","2015","Maj","21"
"Amager Vest","0344","2015","Juni","20"
"Amager Vest","0344","2015","Juli","16"
"Amager Vest","0344","2015","August","12"
"Amager Vest","0344","2015","September","13"
"Amager Vest","0344","2015","Oktober","11"
"Amager Vest","0344","2015","November","11"
"Amager Vest","0344","2015","December","11"
"Amager Vest","0344","2016","Januar","8"
"Amager Vest","0344","2016","Februar","8"
"Amager Vest","0344","2016","Marts","11"
"Amager Vest","0345","2015","Januar","27"
"Amager Vest","0345","2015","Februar","24"
"Amager Vest","0345","2015","Marts","22"
"Amager Vest","0345","2015","April","22"
"Amager Vest","0345","2015","Maj","23"
"Amager Vest","0345","2015","Juni","23"
"Amager Vest","0345","2015","Juli","22"
"Amager Vest","0345","2015","August","24"
"Amager Vest","0345","2015","September","24"
"Amager Vest","0345","2015","Oktober","27"
"Amager Vest","0345","2015","November","28"
"Amager Vest","0345","2015","December","27"
"Amager Vest","0345","2016","Januar","24"
"Amager Vest","0345","2016","Februar","21"
"Amager Vest","0345","2016","Marts","23"
"Amager Vest","0346","2015","Januar","27"
"Amager Vest","0346","2015","Februar","22"
"Amager Vest","0346","2015","Marts","19"
"Amager Vest","0346","2015","April","22"
"Amager Vest","0346","2015","Maj","22"
"Amager Vest","0346","2015","Juni","23"
"Amager Vest","0346","2015","Juli","22"
