"Modtagerovergruppe","Bydele Navn","Roder","År","Måned","Antal borgere"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","November","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","December","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2016","Januar","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2016","Februar","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2016","Marts","10"
"Fleksjob – løntilskud og løn","Amager Vest","0343","2015","Januar","3"
"Fleksjob – løntilskud og løn","Amager Vest","0343","2015","Februar","3"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","Januar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","Februar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","Marts","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","April","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","Maj","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","Juni","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","Juli","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","August","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","September","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","Oktober","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","November","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2015","December","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2016","Januar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2016","Februar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0344","2016","Marts","6"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","Januar","13"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","Februar","13"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","Marts","13"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","April","13"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","Maj","13"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","Juni","13"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","Juli","11"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","August","11"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","September","11"
