statsborgerskab	køn	alder	oprindelsesland	2006	2007	2008	2009	2010	2011	2012	2013
Udenlandsk	Mænd	20-29 år	Dubai	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Filippinerne	109	128	165	216	267	272	261	234
Udenlandsk	Mænd	20-29 år	Forenede Arabiske Emirater	2	2	2	3	4	5	5	4
Udenlandsk	Mænd	20-29 år	Georgien	20	18	18	22	21	16	15	19
Udenlandsk	Mænd	20-29 år	Hongkong	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Indien	581	609	913	1058	986	949	881	757
Udenlandsk	Mænd	20-29 år	Indokina	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Indonesien	101	87	84	78	62	56	49	43
Udenlandsk	Mænd	20-29 år	Irak	1051	1089	1222	1269	1349	1460	1435	1439
Udenlandsk	Mænd	20-29 år	Iran	348	383	415	457	470	562	601	694
Udenlandsk	Mænd	20-29 år	Israel	52	50	47	51	47	47	41	38
Udenlandsk	Mænd	20-29 år	Japan	61	69	87	89	106	93	84	99
Udenlandsk	Mænd	20-29 år	Jordan	40	40	39	41	42	48	45	47
Udenlandsk	Mænd	20-29 år	Kasakhstan	4	6	9	12	9	15	13	17
Udenlandsk	Mænd	20-29 år	Kina	1645	1559	1628	1778	1767	1645	1444	1349
Udenlandsk	Mænd	20-29 år	Kirgisistan	3	1	1	4	4	3	5	5
Udenlandsk	Mænd	20-29 år	Kuwait	82	86	90	92	90	94	85	87
Udenlandsk	Mænd	20-29 år	Laos	1	1	0	1	1	2	2	2
Udenlandsk	Mænd	20-29 år	Libanon	383	355	338	310	284	272	239	210
Udenlandsk	Mænd	20-29 år	Macao	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Malaysia	15	23	20	28	26	27	26	33
Udenlandsk	Mænd	20-29 år	Maldiverne	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Mellemøsten uoplyst	17	15	12	10	11	10	8	4
Udenlandsk	Mænd	20-29 år	Mongoliet	4	7	5	4	3	5	4	4
Udenlandsk	Mænd	20-29 år	Myanmar	71	114	127	141	139	147	157	159
Udenlandsk	Mænd	20-29 år	Nepal	53	133	370	693	679	603	513	499
Udenlandsk	Mænd	20-29 år	Nordkorea	7	4	4	4	5	9	5	8
Udenlandsk	Mænd	20-29 år	Oman	0	0	0	0	0	0	1	0
Udenlandsk	Mænd	20-29 år	Pakistan	932	845	848	864	961	1139	1094	979
Udenlandsk	Mænd	20-29 år	Vestbredden og Gaza	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Qatar	1	1	1	1	1	1	0	0
Udenlandsk	Mænd	20-29 år	Saudi-Arabien	9	6	8	5	7	5	6	7
Udenlandsk	Mænd	20-29 år	Sikkim	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Singapore	18	20	30	44	55	49	59	81
Udenlandsk	Mænd	20-29 år	Sri Lanka	172	175	176	180	168	172	163	151
Udenlandsk	Mænd	20-29 år	Sydkorea	14	21	27	41	43	46	64	79
Udenlandsk	Mænd	20-29 år	Syrien	65	69	72	78	124	236	404	554
Udenlandsk	Mænd	20-29 år	Tadsjikistan	0	0	1	1	1	2	2	4
Udenlandsk	Mænd	20-29 år	Taiwan	8	6	8	14	15	13	14	18
Udenlandsk	Mænd	20-29 år	Thailand	227	266	282	320	326	360	341	361
Udenlandsk	Mænd	20-29 år	Trucial Oman	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Turkmenistan	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Usbekistan	77	75	65	61	52	52	34	25
Udenlandsk	Mænd	20-29 år	Vietnam	301	285	303	299	296	281	287	287
Udenlandsk	Mænd	20-29 år	Nordyemen	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Yemen	3	3	6	6	5	5	4	4
Udenlandsk	Mænd	20-29 år	Asien uoplyst	2	2	2	2	1	1	1	1
Udenlandsk	Mænd	20-29 år	Australien	161	195	234	292	301	320	316	316
Udenlandsk	Mænd	20-29 år	Cookøerne	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Fiji	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Franske besiddelser i Stillehavet	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Kiribati	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Marshalløerne	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	New Zealand	51	43	44	52	47	54	58	61
Udenlandsk	Mænd	20-29 år	Papua Ny Guinea	1	1	0	0	0	0	1	1
Udenlandsk	Mænd	20-29 år	Salomonøerne	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Samoa	0	0	0	0	1	1	0	1
Udenlandsk	Mænd	20-29 år	Tonga	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Tuvalu	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Vanuatu	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Østtimor	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Øer i Stillehavet	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	20-29 år	Statsløs	29	23	26	25	21	19	18	24
Udenlandsk	Mænd	20-29 år	Uoplyst	54	62	37	37	38	37	34	29
Udenlandsk	Mænd	30-39 år	Danmark	989	992	1039	976	925	852	735	663
Udenlandsk	Mænd	30-39 år	Albanien	26	28	33	35	40	42	37	39
Udenlandsk	Mænd	30-39 år	Andorra	1	1	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Belgien	87	92	95	102	106	93	93	102
Udenlandsk	Mænd	30-39 år	Bosnien-Hercegovina	946	901	851	836	809	799	754	766
Udenlandsk	Mænd	30-39 år	Bulgarien	46	58	85	188	244	397	516	673
Udenlandsk	Mænd	30-39 år	Cypern	10	8	10	9	7	7	8	5
Udenlandsk	Mænd	30-39 år	Estland	27	34	41	43	47	48	44	53
Udenlandsk	Mænd	30-39 år	Finland	112	129	147	159	149	147	155	160
Udenlandsk	Mænd	30-39 år	Frankrig	540	564	609	640	622	631	618	617
Udenlandsk	Mænd	30-39 år	Grækenland	112	119	116	121	126	133	171	219
Udenlandsk	Mænd	30-39 år	Belarus	21	24	31	34	35	39	40	36
Udenlandsk	Mænd	30-39 år	Irland	199	196	193	185	187	174	175	184
Udenlandsk	Mænd	30-39 år	Island	722	755	775	824	887	882	833	824
Udenlandsk	Mænd	30-39 år	Italien	533	559	578	634	608	641	699	749
Udenlandsk	Mænd	30-39 år	Jugoslavien	942	813	774	670	588	519	494	455
Udenlandsk	Mænd	30-39 år	Jugoslavien, Forbundsrepublikken	205	195	190	182	163	147	124	114
Udenlandsk	Mænd	30-39 år	Kosovo	0	0	0	29	54	69	78	95
Udenlandsk	Mænd	30-39 år	Kroatien	49	49	49	46	45	40	35	37
Udenlandsk	Mænd	30-39 år	Letland	52	91	125	175	251	321	419	466
Udenlandsk	Mænd	30-39 år	Liechtenstein	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Litauen	221	336	431	503	609	750	854	995
Udenlandsk	Mænd	30-39 år	Luxembourg	5	6	6	7	5	8	10	8
Udenlandsk	Mænd	30-39 år	Nordmakedonien	238	262	293	297	329	334	347	356
Udenlandsk	Mænd	30-39 år	Malta	6	7	10	9	6	7	9	7
Udenlandsk	Mænd	30-39 år	Moldova	9	10	12	15	16	23	25	28
Udenlandsk	Mænd	30-39 år	Monaco	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Montenegro	0	1	2	4	8	11	11	13
Udenlandsk	Mænd	30-39 år	Nederlandene	781	749	736	688	642	599	578	550
Udenlandsk	Mænd	30-39 år	Nordirland	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Norge	873	916	883	861	836	810	795	770
Udenlandsk	Mænd	30-39 år	Polen	592	1106	2111	3332	3438	3630	3986	4545
Udenlandsk	Mænd	30-39 år	Portugal	75	89	120	136	155	170	182	208
Udenlandsk	Mænd	30-39 år	Rumænien	132	152	248	491	659	920	1301	1800
Udenlandsk	Mænd	30-39 år	Rusland	152	145	179	211	208	228	252	261
Udenlandsk	Mænd	30-39 år	San Marino	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Schweiz	150	149	144	138	134	121	126	125
Udenlandsk	Mænd	30-39 år	Serbien	0	7	25	38	53	77	87	99
Udenlandsk	Mænd	30-39 år	Serbien og Montenegro	77	92	96	81	72	69	72	66
Udenlandsk	Mænd	30-39 år	Slovakiet	23	33	79	132	128	154	190	200
Udenlandsk	Mænd	30-39 år	Slovenien	7	6	9	16	17	27	30	43
Udenlandsk	Mænd	30-39 år	Sovjetunionen	27	28	26	19	19	18	18	17
Udenlandsk	Mænd	30-39 år	Spanien	243	270	300	332	357	425	457	541
Udenlandsk	Mænd	30-39 år	Storbritannien	1701	1640	1601	1578	1489	1431	1337	1292
Udenlandsk	Mænd	30-39 år	Sverige	740	734	727	769	770	762	776	778
Udenlandsk	Mænd	30-39 år	Tjekkiet	34	37	50	71	74	80	93	96
Udenlandsk	Mænd	30-39 år	Tjekkoslovakiet	9	13	9	16	18	15	15	13
Udenlandsk	Mænd	30-39 år	Tyrkiet	3396	3243	3300	3288	3254	3217	3207	3170
Udenlandsk	Mænd	30-39 år	DDR	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Tyskland	1403	1464	1652	1860	1832	1750	1729	1722
Udenlandsk	Mænd	30-39 år	Ukraine	89	125	205	312	366	477	594	743
Udenlandsk	Mænd	30-39 år	Ungarn	66	83	113	167	221	257	314	403
Udenlandsk	Mænd	30-39 år	Vatikanstaten	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Østrig	83	79	88	92	95	106	112	116
Udenlandsk	Mænd	30-39 år	Europa uoplyst	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Algeriet	70	60	55	38	34	30	29	30
Udenlandsk	Mænd	30-39 år	Angola	22	24	25	22	18	17	16	13
Udenlandsk	Mænd	30-39 år	Benin	8	10	11	8	6	5	3	3
Udenlandsk	Mænd	30-39 år	Botswana	0	0	1	0	1	2	1	1
Udenlandsk	Mænd	30-39 år	Burkina Faso	3	3	3	4	3	4	5	10
Udenlandsk	Mænd	30-39 år	Burundi	68	61	62	60	53	48	42	36
Udenlandsk	Mænd	30-39 år	Cameroun	102	108	120	136	150	178	190	194
Udenlandsk	Mænd	30-39 år	Centralafrikanske Republik	1	1	1	1	0	0	0	0
Udenlandsk	Mænd	30-39 år	Comorerne	0	0	1	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Congo, Demokratiske Republik	15	20	28	40	37	44	49	63
Udenlandsk	Mænd	30-39 år	Congo, Republikken	46	49	52	52	45	46	42	40
Udenlandsk	Mænd	30-39 år	Djibouti	2	2	2	2	2	2	2	2
Udenlandsk	Mænd	30-39 år	Egypten	120	111	114	114	126	122	136	152
Udenlandsk	Mænd	30-39 år	Elfenbenskysten	58	50	45	39	30	21	16	21
Udenlandsk	Mænd	30-39 år	Eritrea	17	17	18	18	19	23	25	33
Udenlandsk	Mænd	30-39 år	Etiopien	45	43	49	55	66	70	101	116
Udenlandsk	Mænd	30-39 år	Gabon	0	0	1	1	0	2	1	1
Udenlandsk	Mænd	30-39 år	Gambia	56	51	54	49	54	53	54	55
Udenlandsk	Mænd	30-39 år	Ghana	202	193	200	203	199	210	233	248
Udenlandsk	Mænd	30-39 år	Guinea	8	9	10	9	9	14	13	13
Udenlandsk	Mænd	30-39 år	Guinea-Bissau	8	8	7	8	10	8	10	10
Udenlandsk	Mænd	30-39 år	Kap Verde	2	1	1	0	0	0	0	1
Udenlandsk	Mænd	30-39 år	Kenya	59	48	44	56	59	65	65	71
Udenlandsk	Mænd	30-39 år	Lesotho	0	0	0	0	0	0	1	1
Udenlandsk	Mænd	30-39 år	Liberia	9	8	8	8	7	10	8	10
Udenlandsk	Mænd	30-39 år	Libyen	22	26	26	31	30	30	29	31
Udenlandsk	Mænd	30-39 år	Madagaskar	0	3	3	3	2	2	2	2
Udenlandsk	Mænd	30-39 år	Malawi	4	3	3	4	3	5	4	5
Udenlandsk	Mænd	30-39 år	Mali	3	2	3	5	3	3	3	4
Udenlandsk	Mænd	30-39 år	Marokko	369	355	357	329	310	301	304	297
Udenlandsk	Mænd	30-39 år	Mauretanien	2	2	1	1	1	0	0	0
Udenlandsk	Mænd	30-39 år	Mauritius	5	7	8	7	8	8	9	8
Udenlandsk	Mænd	30-39 år	Mozambique	11	15	16	15	10	11	11	13
Udenlandsk	Mænd	30-39 år	Namibia	0	1	2	4	3	2	2	2
Udenlandsk	Mænd	30-39 år	Niger	1	2	3	2	3	3	3	2
Udenlandsk	Mænd	30-39 år	Nigeria	172	174	186	193	205	241	264	280
Udenlandsk	Mænd	30-39 år	Reunion	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Rwanda	31	30	25	25	20	16	17	16
Udenlandsk	Mænd	30-39 år	Sao Tome og Principe	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Senegal	9	11	14	17	12	15	15	19
Udenlandsk	Mænd	30-39 år	Seychellerne	1	2	2	2	2	3	3	3
Udenlandsk	Mænd	30-39 år	Sierra Leone	30	28	34	30	26	25	28	26
Udenlandsk	Mænd	30-39 år	Somalia	913	851	806	689	609	547	521	548
Udenlandsk	Mænd	30-39 år	Spanske besiddelser i Afrika	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Skt. Helena	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Sudan	90	87	89	88	82	81	75	70
Udenlandsk	Mænd	30-39 år	Eswantini	2	2	2	1	2	1	1	1
Udenlandsk	Mænd	30-39 år	Sydafrika	105	118	118	136	135	132	132	121
Udenlandsk	Mænd	30-39 år	Sydsudan	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Sydvestafrika	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Tanzania	36	38	41	48	48	50	46	53
Udenlandsk	Mænd	30-39 år	Tchad	1	1	1	1	1	1	1	1
Udenlandsk	Mænd	30-39 år	Togo	14	12	13	10	9	12	10	10
Udenlandsk	Mænd	30-39 år	Tunesien	90	79	70	63	65	76	70	73
Udenlandsk	Mænd	30-39 år	Uganda	45	48	55	61	75	83	77	83
Udenlandsk	Mænd	30-39 år	Zambia	20	19	13	14	16	16	12	15
Udenlandsk	Mænd	30-39 år	Zimbabwe	17	15	21	18	21	21	26	26
Udenlandsk	Mænd	30-39 år	Ækvatorialguinea	1	1	1	0	0	0	1	1
Udenlandsk	Mænd	30-39 år	Afrika uoplyst	7	8	10	11	11	13	12	10
Udenlandsk	Mænd	30-39 år	Canada	165	171	178	220	216	215	219	227
Udenlandsk	Mænd	30-39 år	USA	604	610	658	653	616	662	644	658
Udenlandsk	Mænd	30-39 år	Nordamerika uoplyst	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Antigua og Barbuda	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Argentina	50	56	60	68	69	72	80	83
Udenlandsk	Mænd	30-39 år	Aruba	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Bahamas	1	0	0	0	1	1	1	1
Udenlandsk	Mænd	30-39 år	Barbados	3	5	4	3	1	1	1	1
Udenlandsk	Mænd	30-39 år	Belize	0	0	0	0	1	1	1	1
Udenlandsk	Mænd	30-39 år	Bermuda	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Bolivia	17	11	15	17	21	20	19	15
Udenlandsk	Mænd	30-39 år	Brasilien	66	87	105	136	144	166	193	203
Udenlandsk	Mænd	30-39 år	Britisk Vestindien	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Chile	80	84	79	83	84	96	99	102
Udenlandsk	Mænd	30-39 år	Colombia	28	32	38	42	51	62	62	73
Udenlandsk	Mænd	30-39 år	Costa Rica	10	11	9	8	11	11	11	13
Udenlandsk	Mænd	30-39 år	Cuba	67	62	65	63	56	54	46	38
Udenlandsk	Mænd	30-39 år	Curacao	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Dominica	2	2	1	0	0	0	0	1
Udenlandsk	Mænd	30-39 år	Dominikanske Republik	4	5	6	5	5	8	10	8
Udenlandsk	Mænd	30-39 år	Ecuador	23	22	23	25	26	29	29	28
Udenlandsk	Mænd	30-39 år	El Salvador	6	6	5	5	4	4	4	3
Udenlandsk	Mænd	30-39 år	Falklandsøerne	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Fransk Guyana	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Fransk Vestindien	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Grenada	2	2	4	2	2	1	1	1
Udenlandsk	Mænd	30-39 år	Guadeloupe	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Guatemala	7	10	13	17	25	27	29	30
Udenlandsk	Mænd	30-39 år	Guyana	2	3	3	2	3	3	3	2
Udenlandsk	Mænd	30-39 år	Haiti	1	1	2	2	3	4	2	2
Udenlandsk	Mænd	30-39 år	Nederlandske Antiller	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Honduras	4	4	5	6	6	7	6	9
Udenlandsk	Mænd	30-39 år	Jamaica	18	16	16	18	15	14	14	16
Udenlandsk	Mænd	30-39 år	Martinique	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Mexico	54	61	74	90	102	116	127	135
Udenlandsk	Mænd	30-39 år	Nauru	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Nicaragua	5	4	3	4	4	5	7	8
Udenlandsk	Mænd	30-39 år	Panama	4	5	4	6	5	3	1	2
Udenlandsk	Mænd	30-39 år	Paraguay	2	2	2	3	3	3	1	4
Udenlandsk	Mænd	30-39 år	Peru	39	46	47	51	53	58	60	58
Udenlandsk	Mænd	30-39 år	Puerto Rico	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Skt. Kitts og Nevis	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Skt. Lucia	0	0	0	0	2	2	2	2
Udenlandsk	Mænd	30-39 år	Skt. Vincent og Grenadinerne	3	2	1	1	1	1	1	0
Udenlandsk	Mænd	30-39 år	Surinam	1	1	3	2	0	0	0	0
Udenlandsk	Mænd	30-39 år	Trinidad og Tobago	8	9	10	8	8	8	6	6
Udenlandsk	Mænd	30-39 år	Uruguay	10	12	12	15	18	15	15	17
Udenlandsk	Mænd	30-39 år	Venezuela	27	30	35	40	46	51	49	55
Udenlandsk	Mænd	30-39 år	Vestindiske Øer	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Syd- og Mellemamerika uoplyst	0	1	1	1	1	1	1	0
Udenlandsk	Mænd	30-39 år	Abu Dhabi	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Afghanistan	749	721	687	640	540	540	491	517
Udenlandsk	Mænd	30-39 år	Armenien	34	34	29	27	28	30	34	36
Udenlandsk	Mænd	30-39 år	Aserbajdsjan	15	14	18	14	20	20	19	20
Udenlandsk	Mænd	30-39 år	Bahrain	1	1	1	2	2	2	1	2
Udenlandsk	Mænd	30-39 år	Bangladesh	52	49	48	52	78	154	211	239
Udenlandsk	Mænd	30-39 år	Bhutan	4	6	9	6	24	32	42	47
Udenlandsk	Mænd	30-39 år	Brunei	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Cambodja	6	5	5	6	6	10	12	12
Udenlandsk	Mænd	30-39 år	Dubai	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Filippinerne	99	114	128	148	161	164	181	195
Udenlandsk	Mænd	30-39 år	Forenede Arabiske Emirater	3	2	2	2	3	2	5	4
Udenlandsk	Mænd	30-39 år	Georgien	9	7	8	12	14	17	13	17
Udenlandsk	Mænd	30-39 år	Hongkong	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Indien	353	458	739	904	976	1198	1412	1502
Udenlandsk	Mænd	30-39 år	Indokina	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Indonesien	99	104	110	114	115	122	116	117
Udenlandsk	Mænd	30-39 år	Irak	1907	1710	1637	1481	1277	1166	1032	954
Udenlandsk	Mænd	30-39 år	Iran	472	436	419	404	446	538	659	727
Udenlandsk	Mænd	30-39 år	Israel	184	181	180	169	166	152	138	120
Udenlandsk	Mænd	30-39 år	Japan	73	79	82	85	88	86	91	108
Udenlandsk	Mænd	30-39 år	Jordan	83	76	84	87	85	84	80	85
Udenlandsk	Mænd	30-39 år	Kasakhstan	3	3	5	5	7	5	9	12
Udenlandsk	Mænd	30-39 år	Kina	444	447	479	562	589	646	720	847
Udenlandsk	Mænd	30-39 år	Kirgisistan	0	0	0	0	0	3	3	4
Udenlandsk	Mænd	30-39 år	Kuwait	143	131	125	107	101	93	97	96
Udenlandsk	Mænd	30-39 år	Laos	2	2	1	1	1	0	2	3
Udenlandsk	Mænd	30-39 år	Libanon	600	582	588	567	548	550	513	503
Udenlandsk	Mænd	30-39 år	Macao	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Malaysia	20	23	29	38	46	42	47	53
Udenlandsk	Mænd	30-39 år	Maldiverne	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Mellemøsten uoplyst	13	12	15	17	18	16	17	19
Udenlandsk	Mænd	30-39 år	Mongoliet	0	0	0	1	4	4	2	2
Udenlandsk	Mænd	30-39 år	Myanmar	126	167	209	251	259	291	320	326
Udenlandsk	Mænd	30-39 år	Nepal	31	47	94	151	189	241	305	382
Udenlandsk	Mænd	30-39 år	Nordkorea	2	6	10	8	5	4	7	8
Udenlandsk	Mænd	30-39 år	Oman	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Pakistan	934	967	1023	1062	1117	1301	1490	1608
Udenlandsk	Mænd	30-39 år	Vestbredden og Gaza	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Qatar	0	0	0	0	0	1	1	1
Udenlandsk	Mænd	30-39 år	Saudi-Arabien	8	11	10	11	11	12	12	13
Udenlandsk	Mænd	30-39 år	Sikkim	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Singapore	20	17	15	15	18	24	25	26
Udenlandsk	Mænd	30-39 år	Sri Lanka	243	219	209	213	214	224	219	236
Udenlandsk	Mænd	30-39 år	Sydkorea	17	19	19	30	42	40	43	55
Udenlandsk	Mænd	30-39 år	Syrien	102	107	114	129	162	226	356	514
Udenlandsk	Mænd	30-39 år	Tadsjikistan	1	1	1	1	0	0	0	0
Udenlandsk	Mænd	30-39 år	Taiwan	11	12	14	15	20	23	22	19
Udenlandsk	Mænd	30-39 år	Thailand	114	133	142	161	170	179	188	190
Udenlandsk	Mænd	30-39 år	Trucial Oman	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Turkmenistan	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Usbekistan	13	15	15	20	25	26	44	51
Udenlandsk	Mænd	30-39 år	Vietnam	337	342	332	337	318	311	284	276
Udenlandsk	Mænd	30-39 år	Nordyemen	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Yemen	5	3	3	3	4	5	5	5
Udenlandsk	Mænd	30-39 år	Asien uoplyst	2	2	2	2	3	3	3	1
Udenlandsk	Mænd	30-39 år	Australien	201	218	230	217	231	255	266	281
Udenlandsk	Mænd	30-39 år	Cookøerne	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Fiji	2	2	2	1	1	1	1	0
Udenlandsk	Mænd	30-39 år	Franske besiddelser i Stillehavet	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Kiribati	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Marshalløerne	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	New Zealand	112	121	124	125	113	105	92	85
Udenlandsk	Mænd	30-39 år	Papua Ny Guinea	1	1	2	1	1	0	0	1
Udenlandsk	Mænd	30-39 år	Salomonøerne	2	1	1	1	1	1	1	0
Udenlandsk	Mænd	30-39 år	Samoa	0	1	1	1	1	1	1	1
Udenlandsk	Mænd	30-39 år	Tonga	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Tuvalu	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Vanuatu	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Østtimor	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Øer i Stillehavet	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	30-39 år	Statsløs	32	34	40	41	39	44	45	49
Udenlandsk	Mænd	30-39 år	Uoplyst	38	38	33	29	25	25	23	27
Udenlandsk	Mænd	40-49 år	Danmark	578	613	710	767	785	799	870	923
Udenlandsk	Mænd	40-49 år	Albanien	7	8	10	11	13	11	11	14
Udenlandsk	Mænd	40-49 år	Andorra	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	40-49 år	Belgien	61	59	60	66	71	91	95	100
Udenlandsk	Mænd	40-49 år	Bosnien-Hercegovina	1140	1080	1076	1009	981	931	900	865
Udenlandsk	Mænd	40-49 år	Bulgarien	22	26	33	91	127	175	237	308
Udenlandsk	Mænd	40-49 år	Cypern	7	7	8	8	9	8	10	12
Udenlandsk	Mænd	40-49 år	Estland	11	14	16	24	19	25	26	27
Udenlandsk	Mænd	40-49 år	Finland	117	111	104	105	105	107	105	98
Udenlandsk	Mænd	40-49 år	Frankrig	343	369	406	428	469	498	525	552
Udenlandsk	Mænd	40-49 år	Grækenland	140	140	144	143	141	140	151	152
Udenlandsk	Mænd	40-49 år	Belarus	3	6	5	6	7	3	5	10
Udenlandsk	Mænd	40-49 år	Irland	176	173	172	181	181	196	191	199
Udenlandsk	Mænd	40-49 år	Island	492	489	512	534	555	543	539	514
Udenlandsk	Mænd	40-49 år	Italien	432	459	489	529	546	564	573	623
Udenlandsk	Mænd	40-49 år	Jugoslavien	829	841	865	868	857	853	826	783
Udenlandsk	Mænd	40-49 år	Jugoslavien, Forbundsrepublikken	118	123	136	137	130	127	131	128
Udenlandsk	Mænd	40-49 år	Kosovo	0	0	0	23	45	59	61	87
Udenlandsk	Mænd	40-49 år	Kroatien	38	42	41	42	42	44	46	55
Udenlandsk	Mænd	40-49 år	Letland	7	11	22	35	45	55	67	95
Udenlandsk	Mænd	40-49 år	Liechtenstein	1	1	1	1	0	0	0	0
Udenlandsk	Mænd	40-49 år	Litauen	54	99	127	156	184	217	263	306
Udenlandsk	Mænd	40-49 år	Luxembourg	3	1	3	3	3	3	2	4
Udenlandsk	Mænd	40-49 år	Nordmakedonien	105	117	125	144	155	176	188	210
Udenlandsk	Mænd	40-49 år	Malta	8	7	5	8	8	7	5	6
Udenlandsk	Mænd	40-49 år	Moldova	6	5	5	5	4	3	16	17
Udenlandsk	Mænd	40-49 år	Monaco	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	40-49 år	Montenegro	0	0	0	1	3	4	8	14
Udenlandsk	Mænd	40-49 år	Nederlandene	649	712	733	791	831	873	858	882
Udenlandsk	Mænd	40-49 år	Nordirland	0	0	0	0	0	0	0	0
Udenlandsk	Mænd	40-49 år	Norge	714	705	718	743	737	740	736	733
Udenlandsk	Mænd	40-49 år	Polen	383	711	1188	1768	1686	1776	1925	2204
