statsborgerskab	køn	alder	oprindelsesland	2006	2007	2008	2009	2010	2011	2012	2013
Dansk	Mænd	0-9 år	Fransk Guyana	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Fransk Vestindien	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Grenada	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Guadeloupe	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Guatemala	1	0	0	0	0	0	0	1
Dansk	Mænd	0-9 år	Guyana	2	3	1	1	1	0	0	0
Dansk	Mænd	0-9 år	Haiti	2	2	2	4	4	4	4	4
Dansk	Mænd	0-9 år	Nederlandske Antiller	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Honduras	0	0	0	1	1	1	2	4
Dansk	Mænd	0-9 år	Jamaica	3	3	3	3	1	0	0	0
Dansk	Mænd	0-9 år	Martinique	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Mexico	8	7	6	6	4	6	7	7
Dansk	Mænd	0-9 år	Nauru	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Nicaragua	3	2	2	2	2	2	4	3
Dansk	Mænd	0-9 år	Panama	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Paraguay	3	3	3	3	2	2	1	1
Dansk	Mænd	0-9 år	Peru	10	13	10	10	8	9	12	10
Dansk	Mænd	0-9 år	Puerto Rico	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Skt. Kitts og Nevis	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Skt. Lucia	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Skt. Vincent og Grenadinerne	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Surinam	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Trinidad og Tobago	4	4	4	3	3	2	2	1
Dansk	Mænd	0-9 år	Uruguay	3	3	2	2	2	2	1	0
Dansk	Mænd	0-9 år	Venezuela	3	3	2	2	4	2	2	1
Dansk	Mænd	0-9 år	Vestindiske Øer	1	1	1	0	0	0	0	0
Dansk	Mænd	0-9 år	Syd- og Mellemamerika uoplyst	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Abu Dhabi	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Afghanistan	256	285	342	389	465	501	579	635
Dansk	Mænd	0-9 år	Armenien	39	32	35	31	30	24	23	20
Dansk	Mænd	0-9 år	Aserbajdsjan	28	25	23	19	17	18	16	11
Dansk	Mænd	0-9 år	Bahrain	3	3	3	3	2	2	2	3
Dansk	Mænd	0-9 år	Bangladesh	24	23	22	22	22	16	19	23
Dansk	Mænd	0-9 år	Bhutan	1	1	1	1	1	1	0	0
Dansk	Mænd	0-9 år	Brunei	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Cambodja	12	12	10	11	9	11	10	11
Dansk	Mænd	0-9 år	Dubai	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Filippinerne	129	129	124	128	127	117	113	108
Dansk	Mænd	0-9 år	Forenede Arabiske Emirater	34	35	38	42	49	52	51	49
Dansk	Mænd	0-9 år	Georgien	1	1	3	3	4	5	7	7
Dansk	Mænd	0-9 år	Hongkong	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Indien	147	144	138	137	130	116	106	99
Dansk	Mænd	0-9 år	Indokina	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Indonesien	3	6	4	4	4	5	5	4
Dansk	Mænd	0-9 år	Irak	1346	1429	1452	1507	1554	1485	1503	1511
Dansk	Mænd	0-9 år	Iran	694	678	659	644	619	596	569	556
Dansk	Mænd	0-9 år	Israel	41	42	42	38	35	35	36	29
Dansk	Mænd	0-9 år	Japan	5	8	7	6	7	8	9	8
Dansk	Mænd	0-9 år	Jordan	131	122	119	118	117	102	99	101
Dansk	Mænd	0-9 år	Kasakhstan	2	3	2	3	3	5	5	7
Dansk	Mænd	0-9 år	Kina	143	142	126	133	155	151	144	157
Dansk	Mænd	0-9 år	Kirgisistan	0	0	0	0	0	0	1	2
Dansk	Mænd	0-9 år	Kuwait	154	168	178	170	172	158	160	158
Dansk	Mænd	0-9 år	Laos	1	2	2	2	2	1	1	2
Dansk	Mænd	0-9 år	Libanon	2718	2649	2547	2423	2341	2241	2125	2013
Dansk	Mænd	0-9 år	Macao	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Malaysia	0	3	4	10	10	9	6	4
Dansk	Mænd	0-9 år	Maldiverne	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Mellemøsten uoplyst	19	18	15	16	14	15	13	11
Dansk	Mænd	0-9 år	Mongoliet	4	4	4	4	3	2	2	1
Dansk	Mænd	0-9 år	Myanmar	0	0	0	0	0	0	0	1
Dansk	Mænd	0-9 år	Nepal	0	1	1	1	3	3	3	4
Dansk	Mænd	0-9 år	Nordkorea	4	4	6	6	6	7	6	5
Dansk	Mænd	0-9 år	Oman	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Pakistan	1004	939	886	855	801	739	691	605
Dansk	Mænd	0-9 år	Vestbredden og Gaza	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Qatar	12	14	16	15	14	17	18	20
Dansk	Mænd	0-9 år	Saudi-Arabien	29	33	30	23	20	21	25	23
Dansk	Mænd	0-9 år	Sikkim	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Singapore	5	5	5	7	8	8	8	8
Dansk	Mænd	0-9 år	Sri Lanka	875	819	778	748	706	665	639	595
Dansk	Mænd	0-9 år	Sydkorea	80	86	98	96	97	113	116	125
Dansk	Mænd	0-9 år	Syrien	375	361	333	328	323	311	295	287
Dansk	Mænd	0-9 år	Tadsjikistan	0	0	0	0	1	1	1	1
Dansk	Mænd	0-9 år	Taiwan	3	1	1	1	1	0	1	1
