FID,id,wkb_geometry,status,driftsplan_navn,arbejdssted_navn,arbejdssted_id,tekst_id,lokaludvalg,byrumstype,underordnet_byrumstype,stednavn,underordnet_stednavn,kgb_kategori,geoobjekttypeid,kommentar,har_sensor,puma_geoobjektid
affaldskurve_puma.4602,4602,MULTIPOINT ((12.477583361131645 55.69071610524194)),IDrift,Bydækkende drift,,,,,,,,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,cee3e913-ce2d-4a15-9083-8fa7d5971610
affaldskurve_puma.4603,4603,MULTIPOINT ((12.483041836233694 55.66150592084444)),IDrift,Bydækkende drift,,,,Valby,Gader og pladser,Øvrig gade,Vigerslevvej,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,cbb21299-b696-420e-977b-4694c2641b37
affaldskurve_puma.4606,4606,MULTIPOINT ((12.515951315093211 55.69821663341988)),IDrift,Bydækkende drift,,,,Vanløse,Småarealer,Rekreativt småareal,Hvidkildevej,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,1a2552f5-5b71-496a-a424-9b7b88835120
affaldskurve_puma.4607,4607,MULTIPOINT ((12.581914830690751 55.692001888278675)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Gade i Indre By,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,54f28f23-1395-4146-bbc0-98b60270a9bc
affaldskurve_puma.4608,4608,MULTIPOINT ((12.567541328624554 55.67654104147437)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Grøn plads,Rådhuspladsen,Metro,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,9dd03b7c-c16a-45f0-8c55-b38e354d49ea
affaldskurve_puma.4609,4609,MULTIPOINT ((12.580280308046415 55.707320138335234)),IDrift,Bydækkende drift,,,,Vesterbro,Gader og pladser,Øvrig gade,Kvarteret ved Strandboulevarden,,12.2.8 Pizzakurv,8755aaa9-70d1-49d7-b3aa-415dcf01d0d2,,true,11507cb9-ee6c-44aa-8f62-52e689e90353
affaldskurve_puma.4610,4610,MULTIPOINT ((12.560800736631277 55.67156765613108)),IDrift,Bydækkende drift,,,,Vesterbro,Gader og pladser,Øvrig gade,Istedgade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,8cd46286-1c28-4473-8b46-98fbd648e783
affaldskurve_puma.4611,4611,MULTIPOINT ((12.48008995394886 55.69981317681779)),IDrift,Bydækkende drift,,,,Brønshøj-Husum ,Gader og pladser,Øvrig gade,Husumvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,4501eb8e-f337-4a24-b21f-fd99b8c325e3
affaldskurve_puma.4614,4614,MULTIPOINT ((12.552938071277211 55.668975406912)),IDrift,Bydækkende drift,,,,Vesterbro,Gader og pladser,Gade med grønt,Gade på Vesterbro,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,72576fde-2b7f-45ae-b430-86f48c918dff
affaldskurve_puma.4615,4615,MULTIPOINT ((12.568176285896692 55.69490409838912)),IDrift,Bydækkende drift,,,,,,,,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,9e0c72ea-4cbf-4459-98d1-4457b2c798e6
