unit	ownership	district	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Total square meters occupied dwellings	Housing cooperative	Polling area - 1. Syd	234227.0	240313.0	243035.0	247964.0	252601.0	259999.0	265210.0	277613.0	285128.0	287687.0	292131.0	293110.0	309976.0	315641.0	322880.0	326860.0	339863.0	340061.0	345594.0	345714.0	344833.0	344859.0	344853.0	346512.0	346407.0	352188.0	352105.0	351188.0	356455.0	356833.0	357160.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 1. Vest	168232.0	173327.0	173302.0	205284.0	206996.0	206915.0	248286.0	248126.0	252873.0	257580.0	267954.0	268097.0	268147.0	270628.0	271255.0	272282.0	285067.0	296564.0	296352.0	296472.0	296728.0	296519.0	296717.0	296519.0	296602.0	296508.0	286095.0	286137.0	285740.0	285740.0	285449.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 1. Nordvest	135630.0	135526.0	135960.0	135970.0	135710.0	139796.0	152328.0	152252.0	171946.0	174569.0	174441.0	179811.0	179527.0	182629.0	184833.0	186382.0	187930.0	187512.0	187264.0	212782.0	215164.0	189625.0	190280.0	190082.0	189935.0	192176.0	192050.0	191827.0	191861.0	192042.0	191926.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 2. Sundbyvester	91928.0	97646.0	99388.0	103077.0	102854.0	88720.0	92743.0	92552.0	108628.0	108667.0	110709.0	111091.0	111971.0	112279.0	121371.0	120538.0	116758.0	116625.0	117524.0	124672.0	124422.0	124216.0	124624.0	132936.0	132612.0	131886.0	132039.0	139260.0	139293.0	139329.0	139350.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 2. Nord	185565.0	194921.0	195963.0	196013.0	199751.0	204137.0	204193.0	223074.0	211673.0	222237.0	222237.0	222352.0	229593.0	239441.0	243313.0	241617.0	260356.0	260356.0	260456.0	260578.0	260718.0	262394.0	262537.0	262728.0	270807.0	270807.0	276493.0	276591.0	276809.0	276924.0	276862.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 2. Syd	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4325.0	5951.0	5410.0	5410.0	5410.0	5410.0	5410.0	5410.0	5410.0	5410.0	5410.0	5410.0	5410.0	5410.0	5410.0	5410.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 2. Øst	0.0	0.0	0.0	0.0	0.0	0.0	15016.0	15016.0	15016.0	15016.0	15016.0	15016.0	16633.0	16633.0	22971.0	25563.0	25563.0	29686.0	29686.0	29686.0	29686.0	29686.0	29686.0	29686.0	29686.0	29686.0	29686.0	29686.0	29686.0	29686.0	29686.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 2. Vest	27107.0	27107.0	27107.0	27107.0	26957.0	88066.0	100239.0	100177.0	102745.0	102745.0	102749.0	210193.0	210259.0	218405.0	236117.0	252635.0	259704.0	259642.0	259678.0	259963.0	260415.0	260807.0	279139.0	279658.0	279695.0	297849.0	297681.0	297775.0	297794.0	298101.0	298028.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 3. Indre By	118663.0	125383.0	125580.0	126897.0	127206.0	131963.0	137253.0	148256.0	149852.0	157642.0	164311.0	167141.0	168144.0	170424.0	173836.0	183072.0	191280.0	191303.0	194341.0	194669.0	194810.0	196469.0	197228.0	197473.0	194086.0	196786.0	200592.0	204546.0	207438.0	207516.0	207759.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 3. Nord	59748.0	59601.0	59773.0	60905.0	60925.0	60816.0	65573.0	65732.0	68217.0	69836.0	69687.0	77999.0	79539.0	79539.0	79595.0	79597.0	87176.0	87168.0	87577.0	88298.0	88953.0	90728.0	90988.0	90998.0	90834.0	92788.0	93002.0	93154.0	93013.0	93013.0	93095.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 3. Syd	47310.0	51287.0	52748.0	55258.0	56761.0	67693.0	86981.0	87308.0	90945.0	94437.0	101827.0	109218.0	117257.0	128695.0	130147.0	130175.0	130803.0	131023.0	131055.0	131443.0	131805.0	132066.0	132271.0	132367.0	132363.0	132364.0	132364.0	132378.0	132531.0	132531.0	132563.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 3. Øst	109139.0	112966.0	114384.0	119851.0	130020.0	131899.0	143387.0	145397.0	150848.0	153038.0	156059.0	161276.0	166221.0	169133.0	180946.0	196329.0	200507.0	200992.0	201119.0	200598.0	199461.0	201749.0	205838.0	207021.0	207208.0	207862.0	212207.0	216043.0	215551.0	215605.0	216122.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 4. Sundbyøster	103901.0	104036.0	104036.0	104719.0	110836.0	116457.0	133813.0	133611.0	133912.0	136715.0	140677.0	144313.0	145426.0	149183.0	151474.0	156580.0	162331.0	162454.0	167413.0	169162.0	166393.0	167161.0	167888.0	167105.0	167918.0	168208.0	168049.0	167605.0	164097.0	164304.0	164207.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 4. Nord	201510.0	206009.0	208043.0	208267.0	208557.0	234089.0	246494.0	254951.0	256635.0	265775.0	265971.0	266036.0	270152.0	273153.0	274852.0	277174.0	287057.0	287093.0	309385.0	311814.0	313044.0	315421.0	313296.0	315538.0	315592.0	315737.0	311781.0	315912.0	315948.0	316032.0	316127.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 4. Syd	113345.0	121458.0	121458.0	120150.0	126028.0	128043.0	153037.0	153023.0	163466.0	166149.0	171718.0	171812.0	172127.0	172413.0	173744.0	176461.0	175494.0	175571.0	178284.0	178333.0	178857.0	178847.0	178827.0	179028.0	179171.0	179295.0	179518.0	179314.0	179456.0	179456.0	179398.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 4. Øst	38556.0	53537.0	53794.0	53844.0	52999.0	52901.0	53783.0	53782.0	69928.0	69616.0	72301.0	77255.0	77767.0	79626.0	86735.0	87250.0	85165.0	86791.0	86791.0	86791.0	86791.0	86549.0	86791.0	86549.0	86549.0	86559.0	86549.0	86549.0	86549.0	86659.0	86514.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 5. Nørrebro	49509.0	49509.0	51816.0	53076.0	53456.0	57023.0	142154.0	143564.0	155201.0	155143.0	155198.0	156665.0	158870.0	159021.0	159165.0	165090.0	165471.0	166271.0	166514.0	166841.0	166244.0	170411.0	170292.0	172343.0	172445.0	172332.0	173871.0	174296.0	174310.0	175903.0	175967.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 5. Nord	114217.0	117750.0	125917.0	126009.0	127730.0	129843.0	141559.0	141547.0	144454.0	144667.0	144942.0	147090.0	150068.0	150478.0	153503.0	156052.0	161557.0	163299.0	167999.0	169001.0	168005.0	168035.0	173145.0	173145.0	173160.0	173162.0	173035.0	173187.0	173269.0	173270.0	168144.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 5. Nørrebrohallen	165967.0	166027.0	166021.0	164889.0	164727.0	164691.0	164661.0	165020.0	165020.0	166654.0	167739.0	169705.0	172495.0	174260.0	178601.0	172728.0	169909.0	171785.0	171870.0	171938.0	171865.0	172085.0	172185.0	172280.0	172207.0	172215.0	173665.0	173665.0	172789.0	173745.0	173697.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 5. Syd	66347.0	67258.0	73352.0	72396.0	73868.0	76377.0	80745.0	80836.0	83232.0	93299.0	98197.0	105017.0	105833.0	110509.0	114164.0	117316.0	119638.0	121355.0	121282.0	122358.0	122130.0	123215.0	125343.0	125601.0	125477.0	137064.0	138562.0	138715.0	138898.0	138107.0	138053.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 5. Øst	81470.0	88899.0	91303.0	93065.0	92763.0	94939.0	101112.0	101940.0	100243.0	107030.0	108420.0	114332.0	118407.0	120489.0	128092.0	144552.0	151806.0	151806.0	155169.0	157507.0	160150.0	157899.0	158116.0	162667.0	163493.0	165031.0	164955.0	165401.0	165678.0	165801.0	165898.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 5. Vest	138696.0	140214.0	140327.0	140213.0	141624.0	146626.0	188698.0	192779.0	233063.0	233223.0	233117.0	233832.0	233903.0	233931.0	233960.0	234957.0	239576.0	239565.0	242236.0	243122.0	243809.0	244020.0	244166.0	244371.0	244553.0	252849.0	252900.0	254359.0	254544.0	256668.0	249212.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 5. Nordvest	146415.0	149702.0	149825.0	149405.0	182807.0	182964.0	235153.0	236420.0	248387.0	248486.0	250443.0	252270.0	257860.0	260057.0	266579.0	267674.0	272739.0	272569.0	272422.0	273227.0	272050.0	276001.0	276378.0	276542.0	276466.0	276512.0	279005.0	284733.0	285172.0	285251.0	285393.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 6. Bispebjerg	94927.0	94945.0	94754.0	95567.0	97934.0	100857.0	122153.0	122071.0	126114.0	126566.0	130673.0	135973.0	140843.0	153575.0	157691.0	170202.0	183289.0	183289.0	184527.0	184547.0	184887.0	189916.0	190587.0	190124.0	190124.0	190041.0	191068.0	191141.0	191181.0	191456.0	191571.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 6. Vest	33431.0	33127.0	33159.0	32950.0	32950.0	32667.0	77107.0	77214.0	77160.0	106401.0	107462.0	107362.0	107561.0	108160.0	109174.0	109241.0	132516.0	132516.0	132789.0	132884.0	134833.0	134761.0	134936.0	135037.0	134948.0	135049.0	135049.0	135100.0	111879.0	111930.0	111930.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 6. Nord	25265.0	35669.0	35639.0	35637.0	37731.0	48616.0	66303.0	67450.0	87892.0	84734.0	84734.0	84841.0	86069.0	87418.0	88002.0	88037.0	94156.0	94156.0	94303.0	94226.0	92273.0	94279.0	94716.0	94716.0	95005.0	95291.0	95383.0	95395.0	95395.0	95429.0	95507.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 6. Øst	6989.0	7055.0	7055.0	7114.0	7173.0	7173.0	31732.0	31617.0	31425.0	31425.0	34280.0	34280.0	34280.0	34280.0	34329.0	34224.0	33995.0	33995.0	33995.0	33995.0	33995.0	33995.0	33995.0	33995.0	33995.0	33995.0	33995.0	33995.0	33995.0	33995.0	33995.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 6. Syd	64572.0	65833.0	65900.0	69225.0	69225.0	68730.0	131843.0	133702.0	159312.0	159287.0	159512.0	161256.0	174290.0	175603.0	178039.0	176616.0	181837.0	181837.0	182626.0	183170.0	183295.0	182104.0	183416.0	182122.0	184718.0	184718.0	184674.0	184778.0	183970.0	183989.0	184051.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 7. Brønshøj	14183.0	14369.0	14129.0	14129.0	14129.0	14179.0	13989.0	13989.0	13989.0	13989.0	13989.0	15632.0	15442.0	19837.0	19880.0	19880.0	20031.0	20031.0	20023.0	20023.0	20033.0	20033.0	20032.0	21658.0	21632.0	21330.0	21330.0	21330.0	21330.0	21330.0	21330.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 7. Nord	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 7. Syd	101249.0	101472.0	101582.0	101585.0	101159.0	101193.0	127236.0	126566.0	126584.0	126709.0	130860.0	130989.0	128916.0	128986.0	128986.0	135901.0	138293.0	138449.0	138524.0	131538.0	131588.0	138616.0	138663.0	131576.0	131686.0	132038.0	133832.0	133505.0	138366.0	138497.0	137211.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 7. Øst	60858.0	60976.0	60761.0	60788.0	60735.0	60938.0	61073.0	61073.0	61392.0	61393.0	62623.0	65590.0	65620.0	65606.0	65495.0	66656.0	73501.0	73501.0	76245.0	75899.0	75588.0	75302.0	75539.0	75470.0	75411.0	75334.0	75213.0	75213.0	75209.0	75215.0	75215.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 7. Vest	25049.0	27902.0	27902.0	32018.0	32969.0	32790.0	54970.0	56853.0	56843.0	56757.0	59075.0	59871.0	61934.0	61934.0	63683.0	65968.0	67229.0	67229.0	67911.0	67911.0	67911.0	67900.0	66733.0	66738.0	66738.0	66738.0	66756.0	66818.0	67026.0	66995.0	66995.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 7. Nordvest	18457.0	18139.0	18139.0	18166.0	18166.0	17957.0	35183.0	40108.0	45652.0	45652.0	45652.0	45652.0	45652.0	45760.0	46216.0	46216.0	46282.0	46282.0	46356.0	46356.0	46356.0	46560.0	46650.0	46672.0	46672.0	46468.0	46468.0	46468.0	46468.0	46467.0	46467.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 7. Katrinedal	44757.0	44757.0	44757.0	45130.0	45130.0	47594.0	55367.0	55367.0	55367.0	58884.0	76507.0	76507.0	76507.0	76507.0	78599.0	75698.0	75675.0	75675.0	78539.0	78539.0	78559.0	75695.0	75716.0	75771.0	75777.0	75777.0	75863.0	76008.0	76004.0	75804.0	75725.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 7. Kirkebjerg	41981.0	49292.0	49725.0	49737.0	49495.0	48984.0	52315.0	52315.0	52046.0	52046.0	35371.0	35177.0	38553.0	38422.0	40252.0	44261.0	44219.0	44219.0	44219.0	45555.0	47500.0	48080.0	48080.0	48080.0	48080.0	47738.0	46023.0	46252.0	46252.0	46252.0	46252.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 7. Vanløse	54454.0	63007.0	65314.0	64950.0	65365.0	68259.0	74128.0	70480.0	73317.0	73017.0	77865.0	78608.0	78608.0	78608.0	88770.0	93362.0	108184.0	107938.0	108021.0	108127.0	108127.0	108127.0	108127.0	108127.0	105580.0	108236.0	108236.0	109607.0	109647.0	107897.0	107898.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 8. Valby	109432.0	108863.0	108758.0	108707.0	108700.0	109424.0	115988.0	117124.0	119211.0	118850.0	119035.0	119109.0	118989.0	119030.0	120593.0	127729.0	128626.0	128416.0	133485.0	133636.0	133728.0	133546.0	133754.0	134742.0	134612.0	134534.0	134931.0	134455.0	134478.0	134530.0	129603.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 8. Nord	102975.0	115871.0	115871.0	115722.0	115252.0	115974.0	122842.0	123341.0	132418.0	133270.0	133986.0	133986.0	139608.0	151028.0	158546.0	155426.0	177054.0	183040.0	186325.0	186726.0	187271.0	186421.0	186727.0	186428.0	186459.0	186649.0	186708.0	186752.0	189100.0	189110.0	189134.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 8. Syd	2792.0	2792.0	2792.0	4163.0	4163.0	4163.0	4613.0	4613.0	4613.0	4719.0	5094.0	5094.0	5094.0	5574.0	5574.0	6546.0	6546.0	6546.0	7194.0	7194.0	7750.0	8670.0	8724.0	7804.0	7804.0	7804.0	7762.0	7114.0	30351.0	29975.0	29975.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 8. Vest	23629.0	23629.0	23477.0	23477.0	23535.0	23535.0	70439.0	70439.0	70209.0	75295.0	76282.0	76426.0	76487.0	100191.0	100664.0	78869.0	78966.0	79003.0	79113.0	82241.0	81900.0	81993.0	81735.0	81735.0	81678.0	81678.0	70179.0	70189.0	69425.0	69493.0	69493.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 8. Sydøst	26596.0	27281.0	27495.0	27439.0	27439.0	46967.0	46889.0	46676.0	46232.0	46289.0	50457.0	50457.0	51709.0	51599.0	52066.0	52066.0	52378.0	52403.0	52419.0	52546.0	52630.0	52648.0	52663.0	52685.0	56359.0	56955.0	57050.0	56993.0	57251.0	57316.0	53791.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 8. Midt	75591.0	75591.0	75591.0	75591.0	75731.0	75350.0	81062.0	91264.0	100579.0	100525.0	102615.0	102615.0	102724.0	115116.0	115123.0	115243.0	116789.0	116789.0	117357.0	117636.0	117726.0	117945.0	117623.0	117132.0	117104.0	117165.0	117161.0	117241.0	117247.0	117250.0	117250.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 9. Vesterbro	167373.0	175465.0	180467.0	181311.0	182179.0	182053.0	236133.0	236730.0	254353.0	257141.0	258823.0	260042.0	263209.0	263484.0	269199.0	268248.0	274324.0	274348.0	277748.0	280146.0	280159.0	280381.0	280493.0	286438.0	287994.0	289409.0	293492.0	293633.0	294880.0	296081.0	296444.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 9. Nord	144272.0	151802.0	151544.0	154812.0	156710.0	181185.0	182667.0	187286.0	190773.0	206031.0	210173.0	213168.0	216177.0	220418.0	225270.0	234473.0	242170.0	243220.0	246074.0	248062.0	248286.0	248147.0	251533.0	247956.0	247801.0	251945.0	251951.0	252238.0	252419.0	252672.0	251982.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 9. Syd	54572.0	57827.0	57827.0	57827.0	57827.0	57618.0	58493.0	66901.0	66901.0	85186.0	93521.0	93521.0	93521.0	93521.0	93521.0	93521.0	93521.0	93521.0	97777.0	103076.0	103178.0	103178.0	103289.0	103289.0	103289.0	103291.0	103355.0	98047.0	98047.0	96989.0	96998.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 9. Øst	100542.0	105063.0	106817.0	106261.0	107134.0	111651.0	124172.0	126948.0	131647.0	140042.0	147783.0	149638.0	151708.0	159242.0	161189.0	174839.0	179663.0	179525.0	187399.0	187352.0	187351.0	187698.0	187605.0	191656.0	194524.0	197568.0	201119.0	199804.0	199941.0	199946.0	199939.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 9. Vest	71344.0	73160.0	74901.0	75276.0	75844.0	80824.0	146732.0	150628.0	164923.0	165335.0	166702.0	166838.0	178172.0	188263.0	189785.0	194691.0	211700.0	212652.0	212756.0	214637.0	214928.0	215507.0	218158.0	218039.0	219241.0	219291.0	218384.0	219280.0	219672.0	219535.0	219395.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 9. Midt	0.0	0.0	0.0	0.0	0.0	0.0	7365.0	7365.0	27981.0	27981.0	27981.0	27981.0	27981.0	27981.0	27981.0	27981.0	28673.0	28673.0	28673.0	28673.0	28788.0	28790.0	28860.0	28859.0	28859.0	28859.0	29097.0	29097.0	29097.0	29097.0	29097.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 9. Sydhavn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1983.0	1983.0	1983.0	1983.0	1983.0	1983.0	1983.0	1983.0	1983.0	1983.0	1983.0	1983.0	1983.0	1983.0	1983.0	1983.0	2859.0
Total square meters occupied dwellings	Non-profit housing	Copenhagen total	3597000.0	3689174.0	3735468.0	3800769.0	3856881.0	3942708.0	4028904.0	4135312.0	4149627.0	4166397.0	4184580.0	4208822.0	4208953.0	4212712.0	4222220.0	4225530.0	4211908.0	4259873.0	4248893.0	4262031.0	4240130.0	4247916.0	4294660.0	4312282.0	4365113.0	4391901.0	4395876.0	4438696.0	4475328.0	4532340.0	4603500.0
Total square meters occupied dwellings	Non-profit housing	District - Indre By	123646.0	126518.0	127271.0	136850.0	136792.0	136792.0	139743.0	139693.0	139586.0	143591.0	145319.0	145330.0	145330.0	145390.0	145465.0	147558.0	147566.0	147551.0	147551.0	147551.0	147506.0	104029.0	103981.0	104001.0	104004.0	104004.0	104004.0	104731.0	104516.0	104561.0	104561.0
Total square meters occupied dwellings	Non-profit housing	District - Østerbro	288362.0	289215.0	299863.0	301836.0	299891.0	302829.0	302840.0	303719.0	308010.0	307950.0	307897.0	309801.0	310163.0	310163.0	310226.0	316907.0	303909.0	317088.0	317088.0	317088.0	317207.0	344314.0	346244.0	340311.0	340578.0	342479.0	342461.0	343428.0	342138.0	357067.0	368054.0
Total square meters occupied dwellings	Non-profit housing	District - Nørrebro	533506.0	587387.0	587457.0	597137.0	608915.0	617656.0	619842.0	625621.0	625517.0	625627.0	623863.0	624787.0	622515.0	623135.0	625674.0	643664.0	627980.0	648406.0	603725.0	648406.0	603725.0	649465.0	649431.0	650644.0	666342.0	665175.0	665514.0	680888.0	685696.0	685858.0	687400.0
Total square meters occupied dwellings	Non-profit housing	District - Vesterbro/Kongens Enghave	344239.0	387456.0	388843.0	391912.0	397329.0	396943.0	402802.0	401615.0	405649.0	412340.0	416810.0	416828.0	419025.0	418988.0	419084.0	405685.0	406928.0	414414.0	427228.0	427576.0	427546.0	426949.0	437943.0	436104.0	449484.0	449643.0	446779.0	449701.0	450711.0	456315.0	459806.0
Total square meters occupied dwellings	Non-profit housing	District - Valby	327147.0	334350.0	353245.0	352992.0	352697.0	360473.0	398858.0	408814.0	410750.0	410663.0	410663.0	414141.0	412817.0	412180.0	414407.0	426537.0	426554.0	426554.0	426554.0	424894.0	424804.0	420548.0	433357.0	444490.0	453848.0	453783.0	464848.0	465108.0	465096.0	470214.0	493886.0
Total square meters occupied dwellings	Non-profit housing	District - Vanløse	196124.0	194651.0	196745.0	197169.0	187792.0	211449.0	211488.0	213931.0	216254.0	216144.0	216519.0	219324.0	218866.0	221248.0	221231.0	215596.0	215604.0	215528.0	215364.0	215710.0	215710.0	186694.0	192045.0	199192.0	199192.0	199192.0	199214.0	199363.0	199533.0	199533.0	202948.0
Total square meters occupied dwellings	Non-profit housing	District - Brønshøj-Husum	540095.0	540145.0	540547.0	541681.0	571361.0	589300.0	590104.0	640607.0	640607.0	640564.0	641056.0	641186.0	641153.0	641328.0	639976.0	639394.0	639389.0	639389.0	639425.0	639851.0	641603.0	647158.0	646783.0	649318.0	650299.0	650472.0	650487.0	651173.0	651227.0	651257.0	651257.0
Total square meters occupied dwellings	Non-profit housing	District - Bispebjerg	600972.0	601332.0	604247.0	636411.0	639515.0	646216.0	674150.0	674147.0	675376.0	677128.0	676958.0	676617.0	677900.0	680267.0	680164.0	655989.0	661722.0	665055.0	665046.0	645433.0	666429.0	637261.0	640822.0	642992.0	646422.0	647183.0	646937.0	653475.0	652830.0	655095.0	655097.0
Total square meters occupied dwellings	Non-profit housing	District - Amager Øst	279473.0	258676.0	258820.0	267196.0	273344.0	275442.0	279883.0	306057.0	306057.0	309966.0	323071.0	323071.0	323509.0	323590.0	323274.0	311105.0	311257.0	303447.0	310287.0	310514.0	310878.0	316198.0	316276.0	316407.0	314854.0	314854.0	316181.0	316675.0	326278.0	326278.0	331496.0
Total square meters occupied dwellings	Non-profit housing	District - Amager Vest	363436.0	369444.0	378430.0	377585.0	389245.0	405608.0	409194.0	421108.0	421821.0	422424.0	422424.0	437737.0	437675.0	436423.0	442719.0	463095.0	470999.0	482441.0	496625.0	485008.0	484722.0	515300.0	527778.0	528823.0	540090.0	565116.0	559451.0	574154.0	597303.0	626162.0	648995.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 1. Østerbro	60786.0	61732.0	61732.0	61732.0	61732.0	61828.0	61828.0	62627.0	65173.0	65173.0	65152.0	65152.0	65714.0	65714.0	65714.0	81422.0	81422.0	81422.0	81422.0	81422.0	81422.0	80801.0	81422.0	75434.0	75622.0	75622.0	75604.0	75416.0	75281.0	75373.0	75386.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 1. Øst	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24819.0	24810.0	24810.0	24810.0	24810.0	24810.0	24810.0	24810.0	35784.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 1. Nord	12474.0	12474.0	12482.0	12482.0	12482.0	12482.0	12493.0	12493.0	12493.0	12493.0	12493.0	12493.0	12493.0	12493.0	12493.0	38509.0	38509.0	38509.0	38509.0	38509.0	38509.0	38509.0	38509.0	38509.0	38509.0	38509.0	38509.0	39664.0	38509.0	47533.0	47533.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 1. Syd	16047.0	16047.0	16047.0	17991.0	16004.0	16318.0	16318.0	16318.0	18174.0	18174.0	18256.0	18256.0	18256.0	18256.0	18256.0	18256.0	5077.0	18256.0	18256.0	18256.0	18256.0	18256.0	18256.0	18256.0	18256.0	18256.0	18256.0	18256.0	18256.0	18256.0	18256.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 1. Vest	100801.0	100801.0	100807.0	101146.0	101188.0	101166.0	101166.0	101246.0	101135.0	101075.0	100961.0	100981.0	100902.0	100902.0	100902.0	83512.0	83613.0	83613.0	83613.0	83613.0	83750.0	83750.0	83634.0	83698.0	83656.0	83682.0	83682.0	83682.0	83682.0	89495.0	89495.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 1. Nordvest	73435.0	73342.0	83976.0	83666.0	83666.0	86216.0	86216.0	86216.0	86216.0	86216.0	86216.0	88100.0	87979.0	87979.0	88042.0	70389.0	70469.0	70469.0	70469.0	70469.0	70451.0	98179.0	99604.0	99604.0	99725.0	101600.0	101600.0	101600.0	101600.0	101600.0	101600.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 2. Sundbyvester	155719.0	155603.0	155633.0	154678.0	154678.0	169017.0	168884.0	168884.0	168884.0	168950.0	168950.0	184335.0	184335.0	184365.0	184429.0	185713.0	185713.0	185713.0	183405.0	183405.0	183353.0	186131.0	182977.0	173204.0	173204.0	189605.0	189665.0	189803.0	189763.0	189361.0	189454.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 2. Nord	148172.0	154267.0	163295.0	163405.0	166815.0	168358.0	168273.0	172608.0	172592.0	173150.0	173150.0	173078.0	173016.0	171726.0	171570.0	171595.0	171705.0	171705.0	173716.0	173716.0	173482.0	173687.0	173453.0	181383.0	183756.0	188803.0	183172.0	183172.0	178431.0	196405.0	196800.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 2. Syd	13114.0	13187.0	13115.0	13115.0	13438.0	13922.0	13922.0	13193.0	13922.0	13922.0	13922.0	13922.0	13922.0	13922.0	13922.0	13922.0	21716.0	33158.0	47639.0	35811.0	35811.0	64448.0	77120.0	77260.0	85500.0	85532.0	85532.0	100097.0	116183.0	127470.0	138068.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 2. Øst	46431.0	46387.0	46387.0	46387.0	46481.0	46478.0	50282.0	58590.0	58590.0	58569.0	58569.0	58569.0	58569.0	58577.0	64965.0	76624.0	76624.0	76624.0	76624.0	76840.0	76840.0	75798.0	78992.0	81483.0	82133.0	85668.0	85574.0	85574.0	97418.0	97418.0	109165.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 2. Vest	0.0	0.0	0.0	0.0	7833.0	7833.0	7833.0	7833.0	7833.0	7833.0	7833.0	7833.0	7833.0	7833.0	7833.0	15241.0	15241.0	15241.0	15241.0	15236.0	15236.0	15236.0	15236.0	15493.0	15497.0	15508.0	15508.0	15508.0	15508.0	15508.0	15508.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 3. Indre By	2459.0	3635.0	3635.0	3635.0	3635.0	3635.0	3635.0	3635.0	3635.0	7636.0	7636.0	7636.0	7636.0	7636.0	7636.0	7636.0	7636.0	7636.0	7636.0	7636.0	7636.0	7394.0	7346.0	7327.0	7330.0	7330.0	7330.0	8057.0	7811.0	7811.0	7811.0
Total square meters occupied dwellings	Non-profit housing	Polling area - 3. Nord	27914.0	27914.0	27914.0	27914.0	27914.0	27914.0	27914.0	27864.0	27864.0	27864.0	27864.0	27864.0	27864.0	27864.0	27881.0	27881.0	27881.0	27881.0	27881.0	27881.0	27881.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
