unit	ownership	district	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Total square meters occupied dwellings	Owner-occupied	Polling area - 4. Sundbyøster	61369.0	60991.0	57567.0	57888.0	54294.0	57903.0	58279.0	59674.0	61885.0	61450.0	63232.0	63060.0	64652.0	76995.0	67609.0	82618.0	90643.0	103510.0	96086.0	104109.0	100733.0	99483.0	96734.0	97262.0	98326.0	108286.0	118515.0	130111.0	147677.0	169037.0	194854.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 4. Nord	109380.0	107084.0	106083.0	102966.0	101524.0	104605.0	103697.0	107183.0	112528.0	113869.0	114076.0	115950.0	113907.0	114605.0	112632.0	113275.0	121179.0	120239.0	111557.0	107233.0	104310.0	102685.0	98214.0	95742.0	111612.0	119914.0	120705.0	128565.0	131747.0	131622.0	130640.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 4. Syd	144305.0	144867.0	141520.0	144638.0	145993.0	145916.0	149634.0	150648.0	154241.0	157184.0	158628.0	159409.0	159324.0	161212.0	160242.0	161915.0	161243.0	160642.0	158269.0	154935.0	154807.0	153549.0	152232.0	151301.0	153058.0	154541.0	157371.0	159685.0	160905.0	162005.0	163807.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 4. Øst	210302.0	212256.0	210697.0	215226.0	217231.0	218685.0	220160.0	223044.0	225297.0	227142.0	228803.0	231233.0	237314.0	242744.0	240254.0	247818.0	247722.0	248134.0	250777.0	249104.0	247453.0	247282.0	248694.0	257106.0	262673.0	277035.0	284002.0	291647.0	302586.0	309485.0	316142.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 5. Nørrebro	19274.0	13653.0	13205.0	12044.0	11562.0	13047.0	11590.0	12245.0	11571.0	12053.0	12849.0	16185.0	12138.0	11983.0	13483.0	12297.0	11676.0	11562.0	11267.0	10415.0	8697.0	8617.0	8012.0	7706.0	9050.0	10254.0	9828.0	9765.0	10643.0	12019.0	11074.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 5. Nord	59571.0	59110.0	57498.0	58913.0	55560.0	55891.0	57293.0	57630.0	57516.0	58310.0	58978.0	61273.0	60625.0	60708.0	61867.0	61272.0	63569.0	62269.0	57092.0	53875.0	51853.0	49056.0	48661.0	49330.0	48562.0	53835.0	56370.0	57035.0	59786.0	60632.0	61309.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 5. Nørrebrohallen	37920.0	38950.0	37876.0	39051.0	41902.0	39477.0	39294.0	40054.0	39546.0	39000.0	39413.0	38486.0	38449.0	39603.0	40061.0	40819.0	41964.0	43695.0	41968.0	40087.0	36077.0	33464.0	33095.0	31331.0	31745.0	35146.0	37024.0	40575.0	43426.0	45139.0	44275.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 5. Syd	43639.0	46391.0	44213.0	44099.0	43742.0	43575.0	50759.0	48594.0	46320.0	43089.0	45101.0	46233.0	46747.0	46538.0	46950.0	46887.0	47206.0	46549.0	45900.0	44930.0	44084.0	42854.0	44084.0	45474.0	46518.0	46624.0	48047.0	49853.0	50906.0	52092.0	53618.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 5. Øst	54520.0	54389.0	52572.0	51021.0	50201.0	50351.0	51070.0	52280.0	52440.0	51251.0	51347.0	50638.0	50296.0	50014.0	49497.0	53821.0	53800.0	49506.0	45803.0	43465.0	41154.0	41432.0	43236.0	42764.0	45268.0	46112.0	49405.0	48391.0	54612.0	56754.0	59302.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 5. Vest	19545.0	19538.0	17822.0	18824.0	17571.0	19026.0	18085.0	21783.0	19686.0	19989.0	18547.0	19643.0	20163.0	19297.0	19957.0	20365.0	21452.0	20952.0	19314.0	18793.0	18622.0	19149.0	18266.0	18415.0	17105.0	15777.0	16347.0	16767.0	18097.0	18496.0	19086.0
